YES-Dist-N2pc	NOO-Dist-N2pc	YES-Dist-Ptc	NOO-Dist-Ptc	YES-Targ-N2pc	NOO-Targ-N2pc	YES-Targ-Ptc	NOO-Targ-Ptc	WM_NOO_Acc	WM_YES_Acc	VS_NOO_Acc	VS_YES_Acc	WM_NOO_RT	WM_YES_RT	VS_NOO_RT	VS_YES_RT	HDist_PosArea	HTarg_PosArea	LDist_PosArea	LTarg_PosArea	HDist_negArea	HTarg_negArea	LDist_negArea	LTarg_negArea	HDist_ratioArea	HTarg_ratioArea	LDist_ratioArea	LTarg_ratioArea	YDist_PLat	YTarg_PLat	NDist_PLat	NTarg_PLat	YDist_NLat	YTarg_NLat	NDist_NLat	NTarg_NLat
-0.39	0	0.23	0.01	0.34	0.23	-0.39	-0.48	0.93	0.86	0.99	0.97	695.8	799.07	488.46	467.61	8.668987053	12.71022658	0.176713164	-1.221492873	2.120659605	33.69453607	20.39956684	22.78533119	-0.72	-7.18	-0.88	-1.65	548	204	532	204	468	620	852	660
-0.12	0.23	-0.36	0.15	-0.17	0.02	-0.09	-0.11	0.91	0.8	0.89	0.91	707.22	746.17	472.42	467.84	-8.057814412	-5.85851749	-2.100316528	-17.40346894	27.35687078	13.47941166	-5.655910365	20.55783602	-0.87	-0.17	0.4	7.41	552	204	536	204	460	620	848	652
-0.02	-0.36	0.73	-0.82	0.08	-0.45	-0.5	-1.05	0.93	0.87	0.98	0.95	867.29	940.86	665.59	660.22	20.98810759	-5.244764069	-32.97321722	-47.34136519	-2.819787966	26.88541008	68.65425971	34.00208421	0.22	-0.1	20.07	3.64	540	204	540	204	460	608	832	660
-0.48	0.13	0.12	0.87	-0.27	-0.02	-0.67	-0.73	0.93	0.93	0.97	0.97	1056.16	1159.77	554.13	563.53	8.195479326	-11.43008474	40.1501326	-11.07060523	19.28585321	44.79013149	-19.9245395	29.67475993	-0.8	-0.09	-2.89	1.51	540	204	536	204	460	600	832	656
-0.97	-1.53	0.22	-0.04	-1.04	-0.64	-1.08	-0.51	0.88	0.87	0.99	0.99	660.83	720.53	522.07	515.05	6.865942349	-5.14688042	-5.154708893	-1.383918988	17.72361767	151.5098337	54.15567204	77.02471293	-0.58	-7.43	0	-0.21	544	204	532	204	728	580	860	652
-0.74	-0.29	-0.46	-0.27	-0.36	0.38	-0.88	-0.89	0.76	0.82	0.92	0.91	866.86	930.21	492.01	481.81	-7.760317173	-26.69738992	-0.498866941	-7.471610956	15.05096041	34.70070623	8.135923715	98.62729384	0.12	0.41	-4.19	-0.02	548	204	540	204	724	576	852	636
-0.76	0.94	-0.28	1.71	0.23	-0.2	0.18	-0.57	0.96	0.87	0.95	0.96	906.54	956.87	495.17	499.62	-8.131603499	9.989397738	39.30258736	-12.39384077	53.18782197	-45.25771772	-55.79168227	75.82138678	8.73	0.08	-5.27	-0.47	540	204	536	204	456	584	860	624
-0.35	0	0.43	-0.18	-0.38	-0.68	0.05	-0.66	0.83	0.75	0.88	0.86	993.99	996.41	521.23	525.96	4.736926077	-21.33368359	-5.382982668	-25.89527178	15.05874304	0.20483902	14.19456702	62.59392782	3.87	-0.11	-9.72	-0.22	532	204	532	204	452	596	872	628
-0.39	-0.31	-0.12	-0.01	0.06	-0.47	-0.14	-0.44	0.92	0.91	0.99	0.99	915.7	907.48	528.37	526.93	7.130754162	-3.435623266	-20.34844493	-15.45578788	33.4963095	-7.818321225	14.04292196	39.17304014	-2.5	3.65	-1.34	-0.24	536	204	536	204	448	596	868	632
-0.77	-0.03	0.38	0.36	-0.45	-0.05	-0.79	-1.37	0.8	0.74	0.92	0.9	1076.27	1135.3	679.39	663.63	19.91524294	-16.3513414	-6.419401903	-16.23559189	-7.729663436	60.58201385	-9.665275194	100.9880417	-1.78	-0.09	1.04	-9.03	536	204	540	204	460	568	868	620
