xAxis	D_N2pcc_High	D_N2pcc_Loww	D_Ptccc_High	D_Ptccc_Loww	D_SPCNa_High	D_SPCNa_Loww	D_SPCNb_High	D_SPCNb_Loww	T_P1pcc_High	T_P1pcc_Loww	T_N2pcc_High	T_N2pcc_Loww	T_SPCNa_High	T_SPCNa_Loww	T_SPCNb_High	T_SPCNb_Loww
-200	-0.081319114	0.039193254	-0.040950885	0.040481171	-0.051209967	0.008059777	-0.066687701	0.064304679	-0.178017585	0.020883444	-0.170626211	0.03032236	-0.171840702	0.02752323	-0.199221326	-0.008589462
-196	-0.074936884	0.003135561	-0.029467588	0.00630008	-0.05173479	-0.02288833	-0.057089857	0.022902377	-0.159081279	-0.0013135	-0.145634347	-0.008604704	-0.144692245	-0.013961323	-0.175795601	-0.032407083
-192	-0.075462944	-0.020468832	-0.035218433	-0.017487827	-0.065843028	-0.044972542	-0.055808522	-0.004738528	-0.138787291	-0.030633317	-0.125064221	-0.039890721	-0.123028841	-0.047068736	-0.154176348	-0.055418133
-188	-0.075858771	-0.039146238	-0.04894412	-0.039640362	-0.080257461	-0.064084407	-0.05566755	-0.025763597	-0.11404224	-0.058572952	-0.107462938	-0.055574804	-0.105510039	-0.062959642	-0.131072875	-0.071870283
-184	-0.07201312	-0.05266967	-0.058962795	-0.057471069	-0.082384319	-0.077565804	-0.05258754	-0.038982117	-0.079907585	-0.081117852	-0.083650916	-0.062248049	-0.082385642	-0.069057998	-0.095493767	-0.084904594
-180	-0.06047873	-0.055963882	-0.056226187	-0.061961361	-0.066323815	-0.081338593	-0.043210852	-0.039443558	-0.036242777	-0.096703332	-0.045760217	-0.068061175	-0.045206167	-0.074751579	-0.04234926	-0.096668369
-176	-0.040945161	-0.048328171	-0.039474289	-0.050885049	-0.035565654	-0.077052907	-0.026575679	-0.028131112	0.00743977	-0.104663723	0.00163459	-0.074537622	0.001253886	-0.081616367	0.017578549	-0.105094818
-172	-0.018107036	-0.034591972	-0.015048669	-0.031516481	-0.001458265	-0.067638532	-0.005789247	-0.012248935	0.03799416	-0.104929702	0.043734333	-0.078636765	0.04180135	-0.085493356	0.064614206	-0.107170952
-168	0.002976564	-0.01641089	0.010286984	-0.009482715	0.025103332	-0.049594359	0.016221064	0.005322328	0.048956656	-0.09625134	0.067357203	-0.076539579	0.063307073	-0.081681671	0.084764831	-0.09901329
-164	0.022217909	0.00778662	0.035580722	0.015720071	0.042642347	-0.019539749	0.041114591	0.026370221	0.046312953	-0.08003887	0.07300785	-0.06856349	0.067134961	-0.071220617	0.082337089	-0.080076402
-160	0.043501396	0.034788305	0.062987703	0.042877237	0.059143244	0.016150054	0.0719911	0.048972758	0.042228363	-0.059714873	0.073310885	-0.055992608	0.066833807	-0.057077202	0.074432641	-0.053250327
-156	0.068994321	0.05624149	0.091512574	0.065059193	0.082272942	0.046328645	0.107733074	0.066705418	0.041320006	-0.033844127	0.076348883	-0.033227984	0.070165461	-0.034340331	0.06866347	-0.017706917
-152	0.093521357	0.068742666	0.114679341	0.078907025	0.110862927	0.066863338	0.139499596	0.077659555	0.0396538	-0.000412898	0.079831448	0.003796651	0.073875347	0.002250947	0.06059785	0.026147986
-148	0.105881803	0.074945348	0.123264938	0.087144914	0.133668226	0.079603961	0.153862376	0.084763355	0.031312352	0.03523427	0.076839624	0.0466927	0.070512959	0.045739761	0.044828842	0.069205622
-144	0.098015025	0.074996653	0.111857336	0.089481817	0.136599028	0.082361602	0.141990215	0.087353584	0.009063845	0.061676839	0.058030744	0.080260031	0.050791814	0.080989673	0.016304228	0.098792624
-140	0.074777125	0.065293362	0.085971887	0.081362112	0.116957236	0.071110084	0.108834781	0.080314913	-0.031032459	0.068719547	0.015917171	0.092392869	0.00736493	0.094819725	-0.028534869	0.106715443
-136	0.051672672	0.046395376	0.060107596	0.062321817	0.08952107	0.048166342	0.071535019	0.062502467	-0.080513254	0.052938146	-0.044698745	0.078593735	-0.054562167	0.082020417	-0.083294837	0.090959282
-132	0.040825571	0.025065671	0.04587446	0.038002097	0.06985108	0.020762956	0.046303179	0.040392099	-0.123104115	0.019515215	-0.105806143	0.042391411	-0.116157419	0.046558085	-0.131107981	0.05546741
-128	0.037980677	0.010843178	0.040649619	0.017638593	0.055501008	-0.002214965	0.034104515	0.024925625	-0.150647073	-0.020615945	-0.151906101	-0.007003521	-0.161242991	-0.001603218	-0.160910297	0.008200169
-124	0.028059751	0.010042894	0.030869945	0.009222482	0.032989436	-0.011322321	0.022589225	0.023649142	-0.167000544	-0.056248034	-0.181648471	-0.058853706	-0.188557071	-0.052167474	-0.176873443	-0.042083621
-120	0.003226715	0.021229565	0.007309712	0.014201759	-0.003892491	-0.003417788	0.001733679	0.034931976	-0.177200758	-0.080642887	-0.201991037	-0.103421412	-0.205857909	-0.09673098	-0.187157513	-0.086710247
-116	-0.026164955	0.038158284	-0.021960643	0.029322181	-0.044322333	0.016044809	-0.022120191	0.051455163	-0.179363231	-0.093358142	-0.214947001	-0.134930492	-0.215990508	-0.130203857	-0.191150092	-0.119619935
-112	-0.043034654	0.059294753	-0.040349838	0.053698506	-0.070266225	0.041250664	-0.03413331	0.071512843	-0.166523328	-0.09896893	-0.214432294	-0.151931748	-0.213054395	-0.150293192	-0.18103923	-0.140720402
-108	-0.040796703	0.085286273	-0.042198082	0.084815831	-0.073127671	0.067068837	-0.02903008	0.096411938	-0.136123679	-0.099679717	-0.196255875	-0.152148321	-0.192674355	-0.153032227	-0.154291681	-0.149536414
-104	-0.024028397	0.107063941	-0.034124096	0.108384257	-0.056406998	0.081772347	-0.013544182	0.117959716	-0.095184244	-0.091793008	-0.164894781	-0.132899074	-0.159172372	-0.134977819	-0.118188128	-0.141492621
-100	0.002796918	0.107991954	-0.019856309	0.10498784	-0.024550686	0.071949305	0.006998691	0.119800736	-0.05295303	-0.073993326	-0.125232896	-0.098397778	-0.117396524	-0.101384534	-0.079363723	-0.11745817
-96	0.037232439	0.08007325	0.001729456	0.068788927	0.018561798	0.036010415	0.032690565	0.093820617	-0.010403029	-0.050981907	-0.075144204	-0.058111997	-0.065112328	-0.062510326	-0.035339303	-0.086042666
-92	0.074809554	0.031730197	0.030137878	0.012887491	0.064994734	-0.012872402	0.062344242	0.048335582	0.037762714	-0.026358097	-0.010365493	-0.01786809	0.001816634	-0.023364915	0.020037757	-0.053241886
-88	0.109448082	-0.019757562	0.062520762	-0.042713765	0.105268482	-0.058148421	0.090708666	-9.29E-05	9.14E-02	1.99E-03	0.063687802	0.022471096	0.077318135	0.017585555	0.084865015	-0.016961033
-84	0.134095118	-0.061764268	0.092844392	-0.085964179	0.131137949	-0.092352596	0.109788297	-0.040834057	0.141580875	0.033133309	0.131368247	0.061296242	0.145090723	0.05849284	0.147602076	0.022959198
-80	0.142687794	-0.092607375	0.112984531	-0.116738786	0.137688838	-0.118288119	0.113472621	-0.074354306	0.17877174	0.05666089	0.179539082	0.090398763	0.191970656	0.089113075	0.197234696	0.055666729
-76	0.13244783	-0.116107688	0.116417659	-0.138638699	0.12435787	-0.138507831	0.100677763	-0.105071065	0.19645676	0.060480533	0.204874125	0.098648818	0.214791299	0.096823662	0.226806923	0.06570614
-72	0.101927895	-0.131838599	0.097987034	-0.150064567	0.091574802	-0.147285858	0.070521389	-0.131419912	0.193905255	0.042898456	0.210422955	0.081896808	0.216744348	0.078191963	0.233608526	0.047787642
-68	0.052428209	-0.134712246	0.056642798	-0.146683596	0.041013995	-0.137107876	0.021650729	-0.146326377	0.177227452	0.014946417	0.198917483	0.04828575	0.201080855	0.043136583	0.219776853	0.013066733
-64	-0.00715576	-0.120943337	0.000221528	-0.127000689	-0.018538981	-0.107575051	-0.039739596	-0.143864725	0.153609479	-0.009279282	0.171957861	0.013136833	0.170283389	0.007820457	0.190157618	-0.020074051
-60	-0.062827046	-0.092352796	-0.057344979	-0.093801423	-0.073723526	-0.065889869	-0.099088424	-0.124384939	0.1289154	-0.02179694	0.137932066	-0.010592443	0.133990036	-0.015357122	0.154645717	-0.038241788
-56	-0.103032294	-0.058451586	-0.103780416	-0.05619741	-0.11431449	-0.023864764	-0.142190066	-0.097437083	0.108786828	-0.022365865	0.112183874	-0.018959823	0.108324149	-0.022995715	0.127081677	-0.037900986
-52	-0.122045086	-0.031291869	-0.131076372	-0.026305244	-0.133875892	0.009518653	-0.160923487	-0.075592014	0.097159004	-0.012522208	0.104127568	-0.014977961	0.102206184	-0.017787727	0.115406511	-0.021904316
-48	-0.118671144	-0.013920862	-0.135045602	-0.006813039	-0.128204097	0.035563574	-0.153733807	-0.060526618	0.096078689	0.008149251	0.112571608	-0.000275937	0.113308046	-0.000883255	0.119586994	0.007122602
-44	-0.095580935	0.000776047	-0.115681629	0.010717797	-0.098219888	0.061281444	-0.125124794	-0.042533808	0.107962668	0.038196186	0.13350654	0.024825095	0.137328514	0.026907338	0.139309022	0.046189206
-40	-0.059627061	0.01662004	-0.078332158	0.030125213	-0.053946454	0.086642852	-0.08347247	-0.018249624	0.130010659	0.069418635	0.159080592	0.055027502	0.166321241	0.058904673	0.169024806	0.087543053
-36	-0.020979807	0.026176006	-0.034306307	0.042097421	-0.01240625	0.100205448	-0.038952628	0.000175422	0.147085774	0.092698702	0.17186552	0.082497891	0.181576502	0.086630556	0.188139815	0.121931255
-32	0.009989991	0.019748062	0.002115968	0.034500204	0.012758362	0.089083062	-0.001848954	-0.001204791	0.140375443	0.109302466	0.156217467	0.10584559	0.165909049	0.10990807	0.173414416	0.148829271
-28	0.023755942	-0.002747216	0.018059878	0.006252374	0.017131153	0.0531446	0.018121999	-0.022981013	0.103867861	0.129338001	0.11246926	0.129168635	0.119536836	0.134644618	0.120220245	0.175229088
-24	0.014159856	-0.028151177	0.008031828	-0.028035347	0.000796717	0.00972839	0.013696715	-0.050462431	0.047056185	0.152306999	0.051623188	0.147410519	0.054744168	0.155698435	0.042970864	0.197693928
-20	-0.012420492	-0.039242366	-0.018503037	-0.046717421	-0.028694125	-0.017037368	-0.010303311	-0.064137878	-0.014404652	0.161745569	-0.014318272	0.145911578	-0.015235459	0.15656445	-0.039020072	0.199688452
-16	-0.037820934	-0.028651461	-0.042263879	-0.037953706	-0.054730985	-0.013276298	-0.035882445	-0.054201057	-0.063781805	0.14357436	-0.070619603	0.116296017	-0.075030629	0.127641057	-0.107386207	0.169672304
-12	-0.049174802	-0.002451932	-0.05098402	-0.007575286	-0.065592054	0.016516271	-0.048900914	-0.026288171	-0.09227714	0.099546498	-0.10671965	0.064289101	-0.113785032	0.074900238	-0.151619418	0.110504391
-8	-0.05074933	0.025950372	-0.049077074	0.026894836	-0.065217559	0.054358778	-0.052594498	0.004986606	-0.105837145	0.045674407	-0.127013587	0.006501333	-0.135820748	0.015480689	-0.176061014	0.037692401
-4	-0.057470359	0.045617005	-0.052034823	0.050824015	-0.067109889	0.083227664	-0.061321293	0.027899863	-0.114045098	0.002810599	-0.142141445	-0.036303136	-0.151736602	-0.029656622	-0.19019904	-0.024335831
0	-0.076728992	0.059385893	-0.069434294	0.06663079	-0.078478691	0.101062906	-0.081862697	0.045841647	-0.115789446	-0.015035769	-0.152023529	-0.049804389	-0.161332217	-0.046168299	-0.194365209	-0.054276341
4	-0.096985355	0.082268835	-0.090659455	0.090400066	-0.091556218	0.121600953	-0.101596431	0.074037059	-0.103640501	-0.007551119	-0.147931328	-0.033807216	-0.156024687	-0.033372427	-0.182981791	-0.047969215
8	-0.093900427	0.122811516	-0.088437066	0.130094011	-0.088062815	0.157973635	-0.095290112	0.120526063	-0.075238332	0.014316802	-0.123601888	-0.001634722	-0.130170744	-0.003810155	-0.153582611	-0.020899718
12	-0.05092185	0.170499708	-0.042333933	0.173652508	-0.051410638	0.205186896	-0.04630859	0.173513056	-0.035022692	0.035273266	-0.079061385	0.027323663	-0.08418526	0.023743481	-0.107421423	0.002904114
16	0.023820464	0.207060588	0.039396732	0.203940311	0.018718299	0.245708006	0.035705941	0.21284444	0.007927588	0.043183167	-0.021987651	0.039165937	-0.025560239	0.034912427	-0.050778706	0.006391813
20	0.106098318	0.220389702	0.128443535	0.211881706	0.105625835	0.263898509	0.124696307	0.224663543	0.044187507	0.034693885	0.034121204	0.031298352	0.032170886	0.025951708	0.00475829	-0.012370049
24	0.176273684	0.205648808	0.201862376	0.194242182	0.187615258	0.251270676	0.199248945	0.203679718	0.072157198	0.016928354	0.080425591	0.011660656	0.07962411	0.00444623	0.052286624	-0.041059568
28	0.224461777	0.165258383	0.249876894	0.153830118	0.247325747	0.209911972	0.247326124	0.153684288	0.094585765	0.004564968	0.117053322	-0.00399195	0.116428713	-0.012485122	0.090995168	-0.058097087
32	0.243018967	0.112551378	0.266758349	0.104990339	0.273789702	0.156519845	0.260806401	0.090953701	0.108045664	0.012487119	0.143041318	0.000592547	0.141748959	-0.006890634	0.117795786	-0.044638242
36	0.22543603	0.064052	0.247646444	0.064610873	0.263131249	0.109583117	0.236428925	0.03435031	0.102596343	0.046944105	0.148530684	0.032244764	0.146127025	0.028208377	0.122099844	0.002406227
