Dist_High_N2pc	Dist_Low_N2pc	Dist_High_Ptc	Dist_Low_Ptc	Dist_High_SPCN	Dist_Low_SPCN	Dist_High_SPCN2	Dist_Low_SPCN2	Targ_High_P1pc	Targ_Low_P1pc	Targ_High_N2pc	Targ_Low_N2pc	Targ_High_SPCN	Targ_Low_SPCN	Targ_High_SPCN2	Targ_Low_SPCN2	WM_High_Acc	WM_Low_Acc	VS_High_Acc	VS_Low_Acc	WM_High_RT	WM_Low_RT	VS_High_RT	VS_Low_RT	HDist_PosArea	HTarg_PosArea	LDist_PosArea	LTarg_PosArea	HDist_negArea	HTarg_negArea	LDist_negArea	LTarg_negArea	HDist_ratioArea	HTarg_ratioArea	LDist_ratioArea	LTarg_ratioArea	HDist_PLat	HTarg_PLat	LDist_PLat	LTarg_PLat	HDist_NLat	HTarg_NLat	LDist_NLat	LTarg_NLat
-0.6	0.63	0.07	1.26	-0.97	-0.24	-0.62	0.03	1.09	0.14	0.58	0.12	0.47	-0.86	0.28	-0.22	0.8	0.86	0.89	0.89	1210.14	1217.97	636.43	621.85	-34.77	130.98	37.89	17.94	48.01	-18.24	-43.27	-10.86	-0.72	-7.18	-0.88	-1.65	324	204	548	288	812	708	436	664
-0.95	-0.64	0.7	2.09	-1.66	-2.19	-1.2	-2.77	-1.18	1.87	-3.41	-1.71	-3.06	-2.78	-3.46	0.48	0.88	0.88	0.94	0.95	1458.33	1384.95	726.12	714.65	-45.4	-32.04	24.6	59.21	52.21	193.28	61.4	7.99	-0.87	-0.17	0.4	7.41	320	204	540	300	816	716	424	676
-0.86	-0.41	1.15	2.54	-1.92	-0.88	-0.88	0.1	-0.19	1.2	-1	-0.76	-1.78	-1.44	-2.08	0.17	0.74	0.87	0.97	0.97	1468.83	1362.07	696.46	675.29	18.27	-9.74	111.88	50.88	82.68	100.79	5.58	13.97	0.22	-0.1	20.07	3.64	264	204	540	268	824	724	428	680
-0.45	-0.04	-0.47	0.62	-0.12	0	0.12	0.11	0.07	0.21	0.14	-0.39	-0.63	-0.26	-1.43	0.69	0.59	0.92	0.88	0.91	1319	1335.65	685.35	668.95	-17.47	-3.82	36.65	7.58	21.79	40.25	-12.69	5.03	-0.8	-0.09	-2.89	1.51	320	204	532	272	832	716	436	680
-0.74	-2.03	1.17	-0.35	-1.67	-2.25	-1.06	-0.84	1.32	0.84	-0.41	-0.43	-0.26	-0.73	-2.57	-0.82	0.88	0.86	0.92	0.93	1586.39	1379	831.39	834.37	-21.86	-17.18	-0.42	-8.78	37.4	2.31	108.98	41.87	-0.58	-7.43	0	-0.21	316	204	520	264	848	696	424	672
-0.86	-0.03	0.25	1.19	-1.25	-0.67	-0.54	0.43	0.45	0.27	-1.11	-0.63	-1.35	-1.96	-0.57	-0.69	0.79	0.88	0.91	0.9	1260.9	1245.16	831.23	811.01	6.41	13.78	58.43	-0.97	55.39	33.88	-13.95	64.13	0.12	0.41	-4.19	-0.02	316	204	524	268	860	704	428	676
-0.89	0.27	-0.27	0.98	-1.19	-0.62	-1.16	-0.61	1.8	1.81	-0.05	-0.83	-1.95	-0.25	-2.09	-1.42	0.89	0.93	0.89	0.89	1259.7	901.37	569.44	551.17	-1.3	5.25	69.41	9.53	-0.15	66.6	-13.18	-20.12	8.73	0.08	-5.27	-0.47	320	204	524	216	868	692	428	672
-1.16	-0.49	1.4	1.14	-0.38	0.04	-1.34	-0.36	-0.16	0.41	-1.39	-1.63	-3	-3.18	-1.04	-1.78	0.89	0.91	0.97	0.96	1277.57	1016.58	711.95	704.92	26.03	-19.61	42.48	-37.24	6.72	183.84	-4.37	168.35	3.87	-0.11	-9.72	-0.22	312	204	520	240	864	696	432	668
-0.11	-0.88	1.23	0.51	-0.1	-1	-0.18	-0.68	0.9	0.11	0.1	-0.14	-0.7	-1.36	-0.06	-0.24	0.91	0.88	0.9	0.91	1432.68	1265.96	852	822.97	51.38	20.41	-35.57	-10.32	-20.56	5.59	26.62	42.61	-2.5	3.65	-1.34	-0.24	244	204	524	232	860	688	424	668
-0.76	-1.61	0.46	-0.03	-0.62	-0.95	-0.6	-0.41	0.61	1.37	-1.27	-0.17	-1.52	-1.04	-1.64	0.2	0.89	0.95	0.95	0.95	1233.58	1095.48	739.49	747.81	16.84	-10.68	4.34	50.77	-9.46	121.24	4.15	-5.62	-1.78	-0.09	1.04	-9.03	252	204	524	232	852	692	424	672
-0.39	-0.25	-0.33	1.02	-1.46	-0.48	-1.15	0.62	-0.19	0.65	-0.13	-1.4	-0.56	-1.29	-0.43	-0.85	0.71	0.93	0.89	0.9	1276.33	1251.08	843.08	849.03	-28.05	-46.88	36.47	-8.67	56.91	-15.66	-8.96	64.25	-0.49	2.99	-4.07	-0.13	312	204	520	256	852	688	428	668
-0.14	-1	0.36	0.96	0.11	-0.17	0.03	-0.65	0.76	0.54	-0.41	-0.39	-1.5	-0.49	-0.93	-1.25	0.8	0.83	0.97	0.95	1134.96	1102.68	797.2	762.18	45.05	12.49	10.75	10.16	-8	53.96	5.83	56.44	-5.63	0.23	1.84	0.18	244	204	524	244	852	684	432	660
-1.18	-0.47	0.49	0.86	-0.82	-0.33	-0.89	-0.59	-0.28	0.13	-1.28	-1.48	-1.84	-2.09	-0.55	-1.73	0.62	0.86	0.92	0.94	1177.38	1104.21	791.03	781.31	-2.54	-9.18	26.58	-17.57	9.79	109.13	4.97	224.75	-0.26	-0.08	5.35	-0.08	240	204	520	248	852	700	432	656
-0.66	-1.23	1.59	1.72	-0.17	-0.75	0.06	-1.25	0.46	0.13	-1.61	-0.46	-1.26	-2.46	-0.97	0.45	0.78	0.87	0.95	0.95	1498.05	1344.2	792.06	781.84	74.29	8.27	2.89	-12.82	-19.02	70.8	16.02	26.46	-3.91	0.12	0.18	-0.48	232	204	524	260	836	704	432	660
-0.9	-0.53	1	0.75	-1.14	-0.86	-1.95	0.28	0.87	0.71	-0.74	-2.19	-1.46	-1.99	-0.48	-1.4	0.75	0.86	0.88	0.84	1316.2	1271.49	841.01	803.82	-5.98	-3.11	3.91	-31.41	80.47	-4.36	-32.43	133.6	-0.07	0.71	-0.12	-0.24	232	204	528	276	832	712	432	656
